asset_id,sensor_id,ts,elapsed_s,origin_cycle_id,raw_value,unit,agg,is_synthetic,quality_flag,value
HYD-01,FS1,2026-11-14 09:00:00+00:00,0,100,0.9027999999999997,L/min,"{'min': 0.0, 'max': 7.653, 'n': 10, 'source_hz': 10}",False,OK,0.9027999999999997
HYD-01,PS1,2026-11-14 09:00:00+00:00,0,100,170.16209999999995,bar,"{'min': 141.27, 'max': 189.88, 'n': 100, 'source_hz': 100}",False,OK,170.16209999999995
HYD-01,TS1,2026-11-14 09:00:00+00:00,0,100,53.219,°C,,False,OK,53.219
HYD-01,FS1,2026-11-14 09:00:01+00:00,1,100,0.0019000000000000002,L/min,"{'min': 0.0, 'max': 0.007, 'n': 10, 'source_hz': 10}",False,OK,0.0019000000000000002
HYD-01,PS1,2026-11-14 09:00:01+00:00,1,100,190.19429999999988,bar,"{'min': 189.79, 'max': 190.38, 'n': 100, 'source_hz': 100}",False,OK,190.19429999999988
HYD-01,TS1,2026-11-14 09:00:01+00:00,1,100,53.207,°C,,False,OK,53.207
HYD-01,FS1,2026-11-14 09:00:02+00:00,2,100,0.0025,L/min,"{'min': 0.0, 'max': 0.007, 'n': 10, 'source_hz': 10}",False,OK,0.0025
HYD-01,PS1,2026-11-14 09:00:02+00:00,2,100,190.16529999999995,bar,"{'min': 189.94, 'max': 190.35, 'n': 100, 'source_hz': 100}",False,OK,190.16529999999995
HYD-01,TS1,2026-11-14 09:00:02+00:00,2,100,53.148,°C,,False,OK,53.148
HYD-01,FS1,2026-11-14 09:00:03+00:00,3,100,0.0019000000000000002,L/min,"{'min': 0.0, 'max': 0.005, 'n': 10, 'source_hz': 10}",False,OK,0.0019000000000000002
HYD-01,PS1,2026-11-14 09:00:03+00:00,3,100,190.1502,bar,"{'min': 189.98, 'max': 190.36, 'n': 100, 'source_hz': 100}",False,OK,190.1502
HYD-01,TS1,2026-11-14 09:00:03+00:00,3,100,53.07,°C,,False,OK,53.07
HYD-01,FS1,2026-11-14 09:00:04+00:00,4,100,0.0010000000000000002,L/min,"{'min': 0.0, 'max': 0.004, 'n': 10, 'source_hz': 10}",False,OK,0.0010000000000000002
HYD-01,PS1,2026-11-14 09:00:04+00:00,4,100,190.14450000000005,bar,"{'min': 189.92, 'max': 190.47, 'n': 100, 'source_hz': 100}",False,OK,190.14450000000005
